X,Y,OBJECTID,SITE_NAME,AIRS_CODE,CO,NOX,O3,SO2,PB,PM10,PM2_5,MET,PAMS,SPC_EAST,SPC_NORTH,ADDRESS,NOY,PM2_5_SPEC,PM2_5_RT,BLACK_CARBON,VISIBILITY,VOCS,BTEX,DEPOSITION,HG,SOLAR,COUNTY,MUNICIPALITY,LOCN_DX,LAT,LON
-74.861492659233548,39.684258022538486,1,Ancora State Hospital,340071001,,,Y,,,,,,,390393.71240364,310111.41460423,301 Spring Garden Road,,,,,,,,,,,Camden,Winslow Township,"Ancora State Hospital Campus, Center Drive",39.68425,-74.861491
-74.431001504337587,39.363267972976935,2,Atlantic City,340011006,,,,,,,Y,,,511632.65081733,193003.04812092,1535 Bacharach Boulevard,,,,,,,,,,,Atlantic,Atlantic City,"Atlantic Cape Community College, Worthington Campus",39.36326,-74.431
-74.126082484357738,40.67025824383947,3,Bayonne,340170006,,Y,Y,Y,,,,Y,,595841.59677015,669288.28576975,Park Road,,,,Y,,,Y,,,,Hudson,Bayonne,"Veterans Park, west end of 25th Street",40.67025,-74.126081
-74.448737515775946,39.464879992880249,4,Brigantine,340010006,,,Y,Y,,,Y,,,506597.31237902,230008.10731634,800 Great Creek Road,,,Y,,Y,,,,,,Atlantic,Galloway Township,Edwin B. Forsythe National Wildlife Refuge Visitor Center,39.464872,-74.448736
-75.116865753728476,39.912439058971081,5,Camden RRF,340070009,,,,,,Y,,,,319098.66887263,393616.07871655,600  Morgan Street,,,,,,,,,,,Camden,Camden,"Covanta Camden Energy Recovery Center, at onramp to I-676 southbound",39.912431,-75.116864
-75.125292757730065,39.934454063044434,6,Camden Spruce Street,340070002,Y,Y,Y,Y,,,Y,Y,,316791.09898931,401651.45527756,200 Block of Spruce Street,,Y,Y,Y,,Y,Y,,,,Camden,Camden,South side of Spruce Street between 3rd Street and Locust Street,39.934446,-75.125291
-74.134401446420185,39.9894081089274,7,Cattus Island,34029xxxx,,,,,,,,,,594558.31176033,421264.16833522,1170 Cattus Island Boulevard,,,,,,,,Y,,,Ocean,Toms River,Cattus Island County Park Administration Building,39.9894,-74.1344
-74.676302667466103,40.787636247164315,8,Chester,340273001,,Y,Y,Y,,,Y,,,443309.0179597,711877.09472346,50 North Road,,Y,,,,Y,,,,,Morris,Chester,"Department of Public Works, Building #1",40.787628,-74.676301
-75.212120777097752,39.800347033240634,9,Clarksboro,340150002,,,Y,,,,Y,,,292054.80421273,352985.87312922,256 County House Road,,,,,,,,,,,Gloucester,East Greenwich Township,Gloucester County Shady Lane Complex,39.800339,-75.212119
-74.444051549376724,40.064838113147864,10,Colliers Mills,340290006,,,Y,,,,,,,507783.7209326,448534.54844021,Hawkin Road and Success Road,,,,,,,,,,,Ocean,Jackson Township,Colliers Mills Wildlife Management Area,40.06483,-74.44405
